FungusID,Species,Temperature,PaperID,WeightPaper,TotalDryWeight,FungalDryWeight
A_12_1,A,12,387,543.1,611.5,68.4
A_12_2,A,12,388,558.6,648.8,90.2
A_15_1,A,15,248,522.1,617.2,95.1
A_15_2,A,15,249,520,618.6,98.6
A_18_1,A,18,490,551.5,677.7,126.2
A_18_2,A,18,491,539.8,658.3,118.5
A_21_1,A,21,341,386.3,699.7,313.4
A_21_2,A,21,342,552.1,651.7,99.6
A_24_1,A,24,186,502.8,628.9,126.1
A_24_2,A,24,187,538.9,589.7,50.8
A_27_1,A,27,125,509.1,554.9,45.8
A_27_2,A,27,126,513.5,567.8,54.3
C11_12_1,C11,12,367,528.7,565.9,37.2
C11_12_2,C11,12,370,582.1,626.6,44.5
C11_15_1,C11,15,282,531.7,595.1,63.4
C11_15_2,C11,15,283,536,601.2,65.2
C11_18_1,C11,18,431,548.9,611.1,62.2
C11_18_2,C11,18,432,542.6,638.8,96.2
C11_21_1,C11,21,319,512.6,591.2,78.6
C11_21_2,C11,21,320,540.1,604.7,64.6
C11_24_1,C11,24,180,505.7,601.1,95.4
C11_24_2,C11,24,181,499.6,554.6,55
C11_27_1,C11,27,171,548.1,601.1,53
C11_30_1,C11,30,61,525.5,714.4,188.9
C11_30_2,C11,30,62,566.5,722.8,156.3
C11_33_1,C11,33,17,506,648.9,142.9
C11_33_2,C11,33,18,523.5,638.5,115
C13_12_1,C13,12,366,533.8,641.7,107.9
C13_12_2,C13,12,373,554.5,646.2,91.7
C13_15_1,C13,15,300,559.8,709.8,150
C13_15_2,C13,15,301,539.5,691.1,151.6
C13_18_1,C13,18,455,523.2,748.4,225.2
C13_18_2,C13,18,456,537.5,718.5,181
C13_21_1,C13,21,321,545.1,680.3,135.2
C13_21_2,C13,21,322,530.4,749.2,218.8
C13_24_1,C13,24,236,532.1,753.7,221.6
C13_24_2,C13,24,237,520.8,775.3,254.5
C13_27_1,C13,27,159,544.2,741.4,197.2
C13_27_2,C13,27,160,520.3,734.1,213.8
C13_30_1,C13,30,101,526.7,756.6,229.9
C13_30_2,C13,30,102,485.3,729.5,244.2
C13_33_1,C13,33,35,527.8,623.7,95.9
C13_33_2,C13,33,36,505,609.1,104.1
C21_12_1,C21,12,406,553.4,637.3,83.9
C21_12_2,C21,12,407,524.9,617.2,92.3
C21_15_1,C21,15,288,539.3,626.9,87.6
C21_15_2,C21,15,289,533.3,631.1,97.8
C21_18_1,C21,18,433,482.4,575.4,93
C21_18_2,C21,18,434,540,658.4,118.4
C21_21_1,C21,21,325,531.5,609,77.5
C21_21_2,C21,21,326,547.1,593.5,46.4
C21_24_1,C21,24,212,500.4,582.3,81.9
C21_24_2,C21,24,213,533.3,613.2,79.9
C21_27_1,C21,27,141,510.1,517.3,7.2
C21_27_2,C21,27,144,532.3,541.8,9.5
C23_12_1,C23,12,397,518.1,659.2,141.1
C23_12_2,C23,12,400,552.5,668.3,115.8
C23_15_1,C23,15,276,526,683,157
C23_15_2,C23,15,277,544.5,694,149.5
C23_18_1,C23,18,460,526.7,743.6,216.9
C23_18_2,C23,18,461,534,718.1,184.1
C23_21_1,C23,21,353,529.3,740.2,210.9
C23_21_2,C23,21,354,553,762.9,209.9
C23_24_1,C23,24,204,544.8,819.6,274.8
C23_24_2,C23,24,205,516.9,698.8,181.9
C23_27_1,C23,27,135,508.9,697.5,188.6
C23_27_2,C23,27,136,538.3,781.7,243.4
C23_30_1,C23,30,77,535.5,742.6,207.1
C23_30_2,C23,30,78,533.1,742.2,209.1
C23_33_1,C23,33,1,511.5,660.2,148.7
C23_33_2,C23,33,2,522,663.1,141.1
C28_12_1,C28,12,371,537.8,610,72.2
C28_12_2,C28,12,372,546.3,594.8,48.5
C28_18_1,C28,18,445,527.2,684.1,156.9
C28_18_2,C28,18,446,552.3,751,198.7
C28_21_1,C28,21,308,535.6,761.8,226.2
C28_21_2,C28,21,309,540.6,740.6,200
C28_24_1,C28,24,214,525.4,699.5,174.1
C28_24_2,C28,24,215,556.5,735,178.5
C28_27_1,C28,27,147,533.8,769.3,235.5
C28_27_2,C28,27,148,553.5,729.2,175.7
C28_30_1,C28,30,51,521,744.6,223.6
C28_30_2,C28,30,52,524.6,784.3,259.7
C28_33_1,C28,33,15,521.7,732,210.3
C28_33_2,C28,33,16,525.9,720.9,195
C29_12_1,C29,12,413,536.1,574.9,38.8
C29_12_2,C29,12,414,546.1,643.5,97.4
C29_15_1,C29,15,264,533.8,590.3,56.5
C29_15_2,C29,15,265,549,679.5,130.5
C29_18_1,C29,18,476,523.8,710.2,186.4
C29_18_2,C29,18,477,542.9,723,180.1
C29_21_1,C29,21,314,532.2,717.9,185.7
C29_21_2,C29,21,315,542.8,639.9,97.1
C29_24_1,C29,24,190,515.5,681.9,166.4
C29_24_2,C29,24,191,527,630.8,103.8
C29_27_1,C29,27,165,514.1,580.6,66.5
C29_27_2,C29,27,166,535.2,669.9,134.7
C29_30_1,C29,30,83,505.3,549.2,43.9
C29_30_2,C29,30,84,529.5,577,47.5
C29_33_1,C29,33,33,492.8,526.2,33.4
C29_33_2,C29,33,34,534.9,566.2,31.3
C31_12_1,C31,12,398,541.3,572.1,30.8
C31_12_2,C31,12,399,522.2,542.8,20.6
C31_15_1,C31,15,242,518.8,559.2,40.4
C31_15_2,C31,15,243,528.1,575.3,47.2
C31_18_1,C31,18,439,551.2,609.4,58.2
C31_18_2,C31,18,440,533.5,567.4,33.9
C31_24_1,C31,24,176,528.5,570.1,41.6
C31_24_2,C31,24,177,512.7,562,49.3
C31_27_1,C31,27,139,503.7,527.7,24
C31_27_2,C31,27,143,514.7,537.3,22.6
C31_30_1,C31,30,103,518.3,538.4,20.1
C31_30_2,C31,30,104,537.7,555.4,17.7
C31_31_1,C31,21,339,546.3,606.6,60.3
C31_31_2,C31,21,340,594.6,626.2,31.6
C33_12_1,C33,12,377,522.2,542.2,20
C33_12_2,C33,12,378,534.8,557.1,22.3
C33_15_1,C33,15,284,521.4,566.1,44.7
C33_15_2,C33,15,285,551.8,597,45.2
C33_18_1,C33,18,449,523.9,568.6,44.7
C33_18_2,C33,18,450,535.2,586.2,51
C33_21_1,C33,21,310,524,580.6,56.6
C33_21_2,C33,21,311,526.4,566.6,40.2
