FungusID,Species,PaperID,Temperature,Time,Radius
C23_33_1,C23,1,33,48,9.5
C23_33_1,C23,1,33,96,13
C23_33_1,C23,1,33,144,16
C23_33_1,C23,1,33,216,21.5
C23_33_1,C23,1,33,264,27
C23_33_1,C23,1,33,312,32.5
C23_33_2,C23,2,33,48,10
C23_33_2,C23,2,33,96,13.5
C23_33_2,C23,2,33,144,17
C23_33_2,C23,2,33,216,22
C23_33_2,C23,2,33,264,27.5
C23_33_2,C23,2,33,312,32.5
DF16_33_1,DF16,3,33,48,8
DF16_33_1,DF16,3,33,96,9.5
DF16_33_1,DF16,3,33,144,12.5
DF16_33_1,DF16,3,33,216,16.5
DF16_33_1,DF16,3,33,264,20
DF16_33_1,DF16,3,33,312,24
DF16_33_2,DF16,4,33,48,8
DF16_33_2,DF16,4,33,96,10
DF16_33_2,DF16,4,33,144,12.5
DF16_33_2,DF16,4,33,216,17.5
DF16_33_2,DF16,4,33,264,22
DF16_33_2,DF16,4,33,312,26
DF09_33_1,DF09,5,33,48,11
DF09_33_1,DF09,5,33,96,18
DF09_33_1,DF09,5,33,144,24.5
DF09_33_1,DF09,5,33,216,33
DF09_33_1,DF09,5,33,264,38
DF09_33_1,DF09,5,33,312,40
DF09_33_2,DF09,6,33,48,11
DF09_33_2,DF09,6,33,96,18.5
DF09_33_2,DF09,6,33,144,24
DF09_33_2,DF09,6,33,216,34
DF09_33_2,DF09,6,33,264,41
DF09_33_2,DF09,6,33,312,42
DISC_33_1,DISC,7,33,48,4
DISC_33_1,DISC,7,33,96,5
DISC_33_1,DISC,7,33,144,5.5
DISC_33_1,DISC,7,33,216,5.5
DISC_33_1,DISC,7,33,264,6
DISC_33_1,DISC,7,33,312,6
DISC_33_2,DISC,8,33,48,4
DISC_33_2,DISC,8,33,96,4.5
DISC_33_2,DISC,8,33,144,4.5
DISC_33_2,DISC,8,33,216,5
DISC_33_2,DISC,8,33,264,5
DISC_33_2,DISC,8,33,312,6
FOX_33_1,FOX,9,33,48,12.5
FOX_33_1,FOX,9,33,96,18.5
FOX_33_1,FOX,9,33,144,24
FOX_33_1,FOX,9,33,216,33
FOX_33_1,FOX,9,33,264,37
FOX_33_1,FOX,9,33,312,39
FOX_33_2,FOX,10,33,48,11.5
FOX_33_2,FOX,10,33,96,18
FOX_33_2,FOX,10,33,144,24.5
FOX_33_2,FOX,10,33,216,33.5
FOX_33_2,FOX,10,33,264,36.5
FOX_33_2,FOX,10,33,312,39.5
DF25_33_1,DF25,11,33,48,8.5
DF25_33_1,DF25,11,33,96,8.5
DF25_33_1,DF25,11,33,144,8.5
DF25_33_1,DF25,11,33,216,8.5
DF25_33_1,DF25,11,33,264,8.5
DF25_33_1,DF25,11,33,312,8.5
DF25_33_2,DF25,12,33,48,9
DF25_33_2,DF25,12,33,96,9
DF25_33_2,DF25,12,33,144,9
DF25_33_2,DF25,12,33,216,9
DF25_33_2,DF25,12,33,264,9
DF25_33_2,DF25,12,33,312,9
C40_33_1,C40,13,33,48,7
C40_33_1,C40,13,33,96,7.5
C40_33_1,C40,13,33,144,8
C40_33_1,C40,13,33,216,8
C40_33_1,C40,13,33,264,8
C40_33_1,C40,13,33,312,8.5
C40_33_2,C40,14,33,48,8
C40_33_2,C40,14,33,96,8.5
C40_33_2,C40,14,33,144,9
C40_33_2,C40,14,33,216,9
C40_33_2,C40,14,33,264,9
C40_33_2,C40,14,33,312,9
C28_33_1,C28,15,33,48,8
C28_33_1,C28,15,33,96,12
C28_33_1,C28,15,33,144,15.5
C28_33_1,C28,15,33,216,20.5
C28_33_1,C28,15,33,264,25
C28_33_1,C28,15,33,312,28.5
C28_33_2,C28,16,33,48,8.5
C28_33_2,C28,16,33,96,12
C28_33_2,C28,16,33,144,15.5
C28_33_2,C28,16,33,216,20.5
C28_33_2,C28,16,33,264,24.5
C28_33_2,C28,16,33,312,27.5
C11_33_1,C11,17,33,48,5
C11_33_1,C11,17,33,96,7
C11_33_1,C11,17,33,144,9
C11_33_1,C11,17,33,216,13
C11_33_1,C11,17,33,264,16
C11_33_1,C11,17,33,312,18.5
C11_33_2,C11,18,33,48,5
C11_33_2,C11,18,33,96,7
C11_33_2,C11,18,33,144,8.5
C11_33_2,C11,18,33,216,12
C11_33_2,C11,18,33,264,15
C11_33_2,C11,18,33,312,17.5
C41_33_1,C41,19,33,48,10
C41_33_1,C41,19,33,96,16
C41_33_1,C41,19,33,144,21
C41_33_1,C41,19,33,216,29.5
C41_33_1,C41,19,33,264,33
